127.0.0.1 - - [01/Nov/2021:14:47:54 +0000] "GET / HTTP/1.1" 200 11156
110.224.184.159 - - [01/Nov/2021:14:51:10 +0000] "GET / HTTP/1.1" 200 11156
110.224.184.159 - - [01/Nov/2021:14:51:11 +0000] "GET /tomcat.css HTTP/1.1" 200 5542
110.224.184.159 - - [01/Nov/2021:14:51:11 +0000] "GET /tomcat.svg HTTP/1.1" 200 67795
110.224.184.159 - - [01/Nov/2021:14:51:11 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
110.224.184.159 - - [01/Nov/2021:14:51:12 +0000] "GET /asf-logo-wide.svg HTTP/1.1" 200 27235
110.224.184.159 - - [01/Nov/2021:14:51:12 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
110.224.184.159 - - [01/Nov/2021:14:51:12 +0000] "GET /bg-button.png HTTP/1.1" 200 713
110.224.184.159 - - [01/Nov/2021:14:51:12 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
110.224.184.159 - - [01/Nov/2021:14:51:12 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
49.36.177.135 - - [01/Nov/2021:14:51:21 +0000] "GET / HTTP/1.1" 200 11156
49.36.177.135 - - [01/Nov/2021:14:51:21 +0000] "GET /tomcat.css HTTP/1.1" 200 5542
49.36.177.135 - - [01/Nov/2021:14:51:21 +0000] "GET /tomcat.svg HTTP/1.1" 200 67795
49.36.177.135 - - [01/Nov/2021:14:51:22 +0000] "GET /asf-logo-wide.svg HTTP/1.1" 200 27235
49.36.177.135 - - [01/Nov/2021:14:51:22 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
49.36.177.135 - - [01/Nov/2021:14:51:22 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
49.36.177.135 - - [01/Nov/2021:14:51:22 +0000] "GET /bg-button.png HTTP/1.1" 200 713
49.36.177.135 - - [01/Nov/2021:14:51:22 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
49.36.177.135 - - [01/Nov/2021:14:51:23 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
3.84.218.153 - - [01/Nov/2021:14:52:14 +0000] "GET / HTTP/1.1" 200 11156
49.36.177.135 - - [01/Nov/2021:14:54:04 +0000] "GET / HTTP/1.1" 200 47
110.224.184.159 - - [01/Nov/2021:15:03:21 +0000] "GET / HTTP/1.1" 200 47
